="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5",="Factor6",="Factor7",="Factor8",="Factor9"
="qoi22mean_z",=".6683802",="-.4323798",="-.1508339",="-.3656175",="-.1149796",="-.0406355",=".0392623",=".0161457",=".0124793"
="qoi23mean_z",=".8661455",="-.1131739",=".1580693",="-.197252",="-.0017792",="-.1624274",="-.0928805",="-.005073",="-.0217317"
="qoi24mean_z",=".9061517",="-.1060399",=".1120196",="-.2554663",="-.0257086",="-.0953056",=".011259",="-.068311",=".0010745"
="qoi25mean_z",=".7789706",=".2671335",=".2939416",=".1268865",=".0868769",="-.0541491",="-.1229949",="-.0182932",=".0356008"
="qoi26mean_z",=".8439883",=".1179089",=".2853183",="-.2380871",=".1197281",=".1052409",=".0365373",=".0344523",="-.009908"
="qoi27mean_z",=".5680006",=".43389",=".399476",="-.03327",=".1199767",=".1355727",=".0669942",=".0391377",="-.0232088"
="qoi28mean_z",=".8462829",="-.0365173",=".1053557",=".2211046",="-.3051908",=".045512",="-.0000277",=".0077308",=".0035718"
="qoi29mean_z",=".8784166",="-.1190958",=".1378578",=".0250353",="-.2764935",=".0185854",=".0821782",=".0314972",=".0141377"
="qoi30mean_z",=".842648",=".1106969",=".2880189",=".1814563",="-.1397317",="-.0653825",="-.0097233",="-.0191828",="-.0045779"
="qoi31mean_z",=".7804",="-.5037659",="-.0298897",="-.0064243",=".1070588",=".157285",="-.0644511",="-.0075694",=".0021811"
="qoi32mean_z",=".7058739",="-.392187",=".0068196",=".2625536",=".1890463",="-.1776021",=".0839728",=".0175893",="-.0202785"
="qoi33mean_z",=".8039416",="-.4920501",="-.0399875",=".1078525",=".1678227",="-.0045179",=".0770855",="-.0162133",="-.0029323"
="qoi34mean_z",=".7451069",="-.5634086",="-.0563115",=".1162749",=".0825587",=".1417711",="-.0395125",="-.0164377",=".0260296"
="qoi35mean_z",=".7796315",=".4076964",="-.2668262",="-.0486077",=".0139923",="-.0016663",=".0954559",="-.0016979",=".0404567"
="qoi36mean_z",=".8545699",=".3200617",="-.2396295",=".0370726",=".0028845",=".0022933",="-.0195134",="-.0388545",="-.0113621"
="qoi37mean_z",=".693906",=".5106538",="-.1635442",=".0445007",=".0645126",=".0274801",=".0653659",="-.0982424",="-.0079641"
="qoi38mean_z",=".8800198",=".0702049",="-.3001518",="-.0083892",="-.1072017",=".1087",="-.0798726",="-.0133121",="-.0414343"
="qoi39mean_z",=".8246975",=".3869687",="-.1437275",="-.0413436",=".1479147",="-.0469811",="-.0596663",=".0645974",=".0260112"
="qoi40mean_z",=".8562549",=".1518483",="-.3336148",=".080411",="-.018097",="-.0528025",="-.02121",=".0937957",="-.0163293"
