="",="Factor 1",="Factor 2",="Uniqueness"
="qoi22mean_z",=".6683802",="-.4323798",=".3663156"
="qoi23mean_z",=".8661455",="-.1131739",=".2369837"
="qoi24mean_z",=".9061517",="-.1060399",=".1676447"
="qoi25mean_z",=".7789706",=".2671335",=".3218445"
="qoi26mean_z",=".8439883",=".1179089",=".2737812"
="qoi27mean_z",=".5680006",=".43389",=".4891148"
="qoi28mean_z",=".8462829",="-.0365173",=".2824717"
="qoi29mean_z",=".8784166",="-.1190958",=".2142004"
="qoi30mean_z",=".842648",=".1106969",=".2776906"
="qoi31mean_z",=".7804",="-.5037659",=".1371958"
="qoi32mean_z",=".7058739",="-.392187",=".3479314"
="qoi33mean_z",=".8039416",="-.4920501",=".1115645"
="qoi34mean_z",=".7451069",="-.5634086",=".1273865"
="qoi35mean_z",=".7796315",=".4076964",=".2259583"
="qoi36mean_z",=".8545699",=".3200617",=".1672707"
="qoi37mean_z",=".693906",=".5106538",=".2577271"
="qoi38mean_z",=".8800198",=".0702049",=".2206364"
="qoi39mean_z",=".8246975",=".3869687",=".1701293"
="qoi40mean_z",=".8562549",=".1518483",=".2437696"
