="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5",="Factor6",="Factor7"
="qoi10mean_z",=".3949898",="-.0691766",=".7272075",=".0981503",=".0522776",=".0357257",="-.0072675"
="qoi20mean_z",=".413539",="-.0115978",=".2643331",=".0041684",=".22303",="-.2634588",=".0111429"
="qoi24mean_z",=".7373002",="-.3531399",="-.001814",="-.1416164",="-.0193988",="-.0851948",="-.0488212"
="qoi41mean_z",=".6710525",="-.3415533",=".1326852",="-.2424488",="-.2271504",="-.0418443",=".0178353"
="qoi44mean_z",=".8222485",="-.3947826",=".0214",="-.1238484",="-.0670051",="-.0164373",="-.0099806"
="qoi64mean_z",=".7235871",="-.3376386",="-.2106682",=".0978084",=".238258",="-.0568232",=".0008772"
="qoi87mean_z",=".7309123",="-.3402017",="-.1860322",=".0128434",=".0151054",=".0816502",=".0095769"
="qoi98mean_z",=".5652423",="-.3642933",="-.4335322",=".1469595",=".0992612",=".1890161",=".0168082"
="qoi103mean_z",=".5461714",=".6063583",="-.0051519",="-.2391544",=".1119805",=".0709481",=".0271679"
="qoi104mean_z",=".5567584",=".5907595",="-.0420423",="-.225363",=".0971146",=".0846368",=".030702"
="qoi105mean_z",=".6407392",=".4280216",="-.0710746",=".2012966",="-.0667479",="-.1024922",=".0586219"
="qoi109mean_z",=".6027796",=".4379595",="-.0651444",="-.0483661",="-.0161737",=".0511552",="-.1073349"
="qoi111mean_z",=".5869952",=".383129",=".0192268",=".2856853",="-.067777",="-.009024",="-.0691515"
="qoi112mean_z",=".7803133",=".2182552",="-.1049752",=".152682",="-.2037244",="-.0594382",=".0520406"
="qoi128mean_z",=".3516309",="-.1374992",=".6065123",=".0985567",=".0154704",=".2118328",=".0243177"
